age,body_type,diet,drinks,education,height,pets,sex,smokes
33,fit,regular,,graduate,67.0,unknown,f,no
24,slim,vegan,rarely,student,75.0,likes_pets,m,smokes
50,average,regular,often,student,73.0,has_pets,m,no
32,average,regular,no,graduate,67.0,likes_pets,m,no
23,fit,regular,rarely,student,73.0,unknown,m,no
32,fit,regular,rarely,graduate,62.0,unknown,f,no
59,fit,regular,rarely,graduate,73.0,likes_pets,m,no
36,fit,regular,often,graduate,73.0,likes_pets,m,no
29,fit,regular,rarely,student,74.0,unknown,m,no
39,fit,regular,rarely,graduate,63.0,unknown,f,no
24,slim,regular,rarely,graduate,67.0,likes_pets,m,no
28,average,regular,often,other,70.0,unknown,m,smokes
50,fit,regular,rarely,student,66.0,likes_pets,m,no
32,fit,regular,rarely,graduate,64.0,likes_pets,f,no
41,fit,regular,rarely,student,67.0,likes_pets,f,no
50,slim,vegetarian,rarely,graduate,63.0,likes_pets,f,no
44,,regular,rarely,graduate,68.0,likes_pets,m,no
48,average,regular,,graduate,68.0,has_pets,m,no
24,slim,regular,rarely,graduate,75.0,unknown,m,smokes
26,fit,regular,no,graduate,73.0,likes_pets,m,no
29,slim,regular,rarely,graduate,61.0,unknown,f,no
40,overweight,regular,rarely,student,62.0,unknown,f,no
29,average,vegetarian,rarely,graduate,68.0,likes_pets,f,no
54,overweight,regular,rarely,graduate,69.0,likes_pets,f,no
20,fit,regular,rarely,student,63.0,likes_pets,f,no
51,average,regular,rarely,student,62.0,likes_pets,f,no
33,average,regular,rarely,graduate,66.0,has_pets,f,no
28,,regular,rarely,graduate,66.0,unknown,m,no
37,fit,regular,rarely,graduate,66.0,unknown,f,no
20,slim,regular,rarely,student,72.0,unknown,m,no
30,,regular,,other,74.0,unknown,m,no
36,fit,regular,rarely,graduate,72.0,unknown,m,no
26,overweight,regular,rarely,student,63.0,likes_pets,f,no
26,fit,regular,rarely,graduate,68.0,likes_pets,f,no
33,slim,regular,rarely,graduate,66.0,likes_pets,f,no
20,average,regular,rarely,high_school,66.0,unknown,f,no
31,fit,regular,rarely,other,70.0,likes_pets,m,no
62,fit,regular,rarely,graduate,73.0,likes_pets,m,no
33,fit,regular,rarely,graduate,63.0,likes_pets,f,no
22,overweight,regular,rarely,other,69.0,likes_pets,m,smokes
46,fit,regular,rarely,other,66.0,unknown,m,no
27,fit,regular,rarely,graduate,68.0,likes_pets,m,no
29,overweight,halal,often,other,72.0,likes_pets,m,smokes
36,average,vegetarian,,graduate,68.0,has_pets,f,no
25,overweight,regular,often,other,71.0,likes_pets,m,smokes
32,fit,regular,rarely,graduate,69.0,likes_pets,m,no
21,fit,regular,rarely,student,66.0,likes_pets,f,no
27,overweight,regular,often,graduate,68.0,likes_pets,f,no
38,fit,regular,no,graduate,70.0,unknown,m,no
27,average,regular,no,graduate,74.0,unknown,m,no
44,fit,regular,rarely,graduate,63.0,unknown,f,no
52,fit,regular,often,graduate,66.0,unknown,f,no
33,fit,regular,rarely,student,60.0,unknown,f,no
28,fit,regular,rarely,graduate,67.0,likes_pets,f,no
37,fit,regular,no,graduate,79.0,likes_pets,m,no
28,slim,vegetarian,rarely,student,61.0,likes_pets,f,no
32,average,regular,rarely,graduate,69.0,likes_pets,m,no
29,overweight,regular,often,high_school,69.0,likes_pets,f,smokes
31,,vegetarian,rarely,graduate,67.0,likes_pets,m,no
42,fit,regular,rarely,graduate,71.0,has_pets,m,no
32,overweight,regular,rarely,graduate,63.0,likes_pets,f,smokes
28,fit,regular,rarely,graduate,67.0,likes_pets,m,smokes
38,fit,regular,rarely,graduate,63.0,unknown,f,no
27,,regular,,other,64.0,likes_pets,f,no
19,overweight,regular,rarely,student,62.0,has_pets,f,no
27,fit,regular,rarely,graduate,65.0,unknown,f,no
28,fit,regular,rarely,graduate,67.0,likes_pets,m,no
29,fit,regular,rarely,graduate,66.0,likes_pets,f,no
31,fit,regular,rarely,student,63.0,likes_pets,f,smokes
27,slim,regular,rarely,graduate,63.0,likes_pets,f,no
43,overweight,regular,rarely,graduate,69.0,likes_pets,f,no
43,slim,regular,rarely,other,71.0,has_pets,m,smokes
24,fit,regular,often,graduate,69.0,likes_pets,f,no
34,fit,regular,,student,67.0,likes_pets,f,no
30,slim,regular,rarely,student,66.0,has_pets,f,no
59,overweight,regular,rarely,graduate,62.0,has_pets,f,no
33,average,regular,rarely,graduate,72.0,likes_pets,m,no
41,average,regular,,graduate,69.0,unknown,m,no
58,slim,regular,rarely,graduate,69.0,unknown,m,no
24,slim,vegetarian,rarely,graduate,59.0,likes_pets,f,smokes
39,average,regular,no,graduate,74.0,likes_pets,m,no
33,fit,regular,often,graduate,70.0,likes_pets,m,no
43,slim,regular,rarely,graduate,65.0,likes_pets,f,no
29,average,regular,rarely,graduate,70.0,likes_pets,m,no
28,average,regular,rarely,graduate,66.0,likes_pets,f,no
21,overweight,regular,no,other,70.0,unknown,m,no
35,fit,regular,rarely,graduate,64.0,likes_pets,f,no
32,fit,regular,rarely,student,69.0,likes_pets,m,smokes
42,fit,regular,rarely,student,63.0,has_pets,f,no
23,overweight,regular,often,student,62.0,likes_pets,f,smokes
30,average,regular,rarely,other,68.0,likes_pets,f,no
27,fit,regular,no,graduate,71.0,unknown,m,smokes
41,fit,regular,no,graduate,71.0,likes_pets,f,no
33,overweight,regular,rarely,graduate,69.0,has_pets,m,no
58,fit,regular,rarely,graduate,70.0,unknown,f,no
26,,regular,,other,72.0,likes_pets,m,no
50,slim,regular,rarely,student,66.0,likes_pets,f,no
45,fit,regular,rarely,graduate,65.0,unknown,f,no
66,fit,regular,rarely,graduate,65.0,likes_pets,f,no
33,average,regular,rarely,graduate,68.0,likes_pets,m,no
32,overweight,regular,,other,68.0,unknown,m,no
53,fit,regular,rarely,graduate,62.0,has_pets,f,smokes
28,average,regular,rarely,other,72.0,unknown,m,smokes
22,average,vegetarian,rarely,high_school,63.0,likes_pets,f,smokes
19,average,regular,rarely,high_school,73.0,likes_pets,m,no
35,average,regular,rarely,graduate,67.0,likes_pets,m,no
51,average,regular,rarely,other,65.0,unknown,f,no
30,average,regular,rarely,graduate,69.0,likes_pets,m,no
29,fit,regular,rarely,student,80.0,likes_pets,m,no
32,fit,regular,often,graduate,61.0,has_pets,f,no
45,overweight,regular,rarely,graduate,63.0,likes_pets,f,no
28,fit,regular,rarely,graduate,73.0,has_pets,m,no
36,average,regular,rarely,student,63.0,has_pets,f,no
40,overweight,regular,rarely,other,71.0,unknown,m,no
34,average,regular,rarely,graduate,62.0,likes_pets,f,smokes
24,overweight,regular,,other,68.0,has_pets,f,no
39,slim,regular,rarely,graduate,72.0,unknown,m,smokes
33,fit,regular,,graduate,65.0,likes_pets,f,no
26,overweight,regular,often,graduate,67.0,likes_pets,f,smokes
36,fit,regular,rarely,other,67.0,has_pets,m,no
46,fit,regular,rarely,graduate,68.0,has_pets,m,no
21,average,regular,,other,67.0,unknown,m,no
63,slim,regular,rarely,graduate,67.0,unknown,f,no
30,average,regular,rarely,other,62.0,has_pets,f,no
50,average,regular,rarely,student,63.0,unknown,f,no
50,average,regular,rarely,graduate,64.0,has_pets,f,no
34,average,regular,rarely,graduate,72.0,unknown,m,no
40,average,regular,rarely,graduate,62.0,has_pets,f,no
46,slim,regular,rarely,other,66.0,has_pets,f,no
41,fit,regular,rarely,graduate,67.0,likes_pets,m,smokes
29,fit,regular,rarely,graduate,62.0,likes_pets,f,no
53,average,regular,rarely,student,69.0,likes_pets,f,no
39,fit,vegetarian,rarely,graduate,69.0,likes_pets,m,no
39,overweight,regular,rarely,other,64.0,unknown,f,no
24,,regular,rarely,graduate,62.0,likes_pets,f,no
26,fit,regular,rarely,graduate,70.0,likes_pets,m,no
25,,regular,rarely,graduate,64.0,likes_pets,f,no
59,slim,regular,no,graduate,63.0,has_pets,f,no
28,overweight,regular,rarely,graduate,67.0,unknown,f,smokes
29,fit,regular,often,graduate,68.0,unknown,m,smokes
35,average,regular,rarely,graduate,67.0,likes_pets,m,no
25,,regular,,other,65.0,unknown,f,no
36,fit,regular,rarely,graduate,67.0,likes_pets,f,no
42,fit,regular,rarely,graduate,64.0,has_pets,f,no
25,fit,regular,,other,71.0,unknown,f,no
27,fit,regular,rarely,graduate,80.0,likes_pets,m,no
45,average,regular,rarely,graduate,60.0,likes_pets,f,no
37,fit,regular,rarely,graduate,71.0,has_pets,m,no
47,average,regular,rarely,graduate,69.0,likes_pets,m,no
24,overweight,regular,rarely,other,67.0,likes_pets,f,no
53,overweight,regular,no,graduate,64.0,has_pets,f,no
26,,regular,rarely,graduate,62.0,likes_pets,f,smokes
49,average,vegetarian,rarely,graduate,63.0,likes_pets,f,no
24,average,regular,rarely,graduate,61.0,has_pets,f,no
19,fit,regular,often,other,69.0,unknown,m,no
26,overweight,regular,rarely,student,76.0,likes_pets,m,no
30,fit,regular,,graduate,70.0,unknown,m,no
26,fit,vegetarian,rarely,graduate,72.0,unknown,m,no
36,fit,regular,rarely,graduate,63.0,has_pets,f,no
24,fit,regular,rarely,other,69.0,likes_pets,m,smokes
47,average,regular,no,other,72.0,unknown,m,smokes
51,fit,regular,rarely,graduate,70.0,unknown,m,no
28,fit,regular,rarely,graduate,73.0,unknown,m,no
48,average,vegetarian,rarely,graduate,62.0,has_pets,f,no
37,overweight,regular,rarely,graduate,62.0,likes_pets,f,no
47,fit,regular,no,other,72.0,has_pets,m,no
34,overweight,regular,rarely,student,66.0,likes_pets,f,smokes
37,fit,regular,often,graduate,65.0,likes_pets,f,smokes
25,fit,regular,rarely,graduate,70.0,likes_pets,m,smokes
32,fit,regular,rarely,graduate,71.0,likes_pets,m,no
42,fit,regular,rarely,graduate,71.0,likes_pets,f,no
33,average,regular,rarely,graduate,64.0,unknown,f,no
34,fit,regular,rarely,graduate,63.0,likes_pets,f,no
42,average,regular,rarely,graduate,75.0,likes_pets,m,smokes
29,fit,regular,rarely,graduate,70.0,likes_pets,m,no
55,average,regular,rarely,graduate,73.0,likes_pets,m,no
32,,regular,rarely,graduate,68.0,unknown,m,no
25,fit,regular,rarely,graduate,69.0,has_pets,m,no
31,average,vegetarian,no,graduate,64.0,likes_pets,f,no
45,fit,regular,rarely,graduate,68.0,unknown,m,no
39,slim,regular,no,graduate,68.0,likes_pets,f,no
50,fit,regular,rarely,graduate,74.0,likes_pets,m,no
29,overweight,vegetarian,rarely,student,61.0,likes_pets,f,no
50,average,regular,no,other,66.0,has_pets,f,no
43,slim,regular,rarely,graduate,62.0,likes_pets,f,no
63,overweight,regular,rarely,graduate,67.0,has_pets,f,no
35,fit,vegetarian,rarely,graduate,72.0,likes_pets,m,no
19,average,vegetarian,rarely,student,67.0,has_pets,f,smokes
62,slim,regular,rarely,graduate,64.0,has_pets,f,no
44,fit,regular,rarely,graduate,68.0,likes_pets,f,no
30,fit,regular,rarely,graduate,63.0,unknown,f,no
24,fit,vegetarian,rarely,graduate,69.0,likes_pets,m,no
40,overweight,regular,no,graduate,68.0,likes_pets,f,no
63,average,regular,rarely,other,65.0,likes_pets,f,no
45,fit,regular,rarely,graduate,66.0,unknown,m,no
53,average,regular,rarely,graduate,62.0,unknown,f,no
36,,regular,rarely,graduate,72.0,has_pets,m,no
22,fit,regular,rarely,other,70.0,unknown,m,smokes
19,fit,regular,no,student,69.0,has_pets,m,no
32,,regular,rarely,graduate,64.0,likes_pets,f,no
61,average,regular,rarely,other,63.0,has_pets,f,smokes
20,,regular,rarely,other,60.0,likes_pets,f,no
34,fit,regular,rarely,graduate,65.0,has_pets,f,no
34,fit,regular,rarely,graduate,67.0,likes_pets,f,no
36,slim,regular,rarely,graduate,72.0,likes_pets,m,no
29,fit,vegetarian,rarely,graduate,71.0,likes_pets,m,no
30,fit,regular,rarely,graduate,73.0,likes_pets,m,smokes
40,,regular,rarely,graduate,68.0,unknown,m,no
28,fit,regular,rarely,student,62.0,likes_pets,f,no
20,average,regular,rarely,student,69.0,likes_pets,m,no
40,fit,regular,rarely,graduate,71.0,likes_pets,m,smokes
43,fit,regular,rarely,other,66.0,unknown,f,no
19,overweight,regular,no,student,72.0,has_pets,m,no
60,fit,regular,no,graduate,68.0,unknown,m,no
66,average,regular,no,graduate,73.0,likes_pets,m,no
39,fit,regular,,graduate,67.0,likes_pets,m,smokes
28,slim,regular,rarely,graduate,75.0,likes_pets,m,no
34,fit,regular,rarely,graduate,74.0,likes_pets,m,no
32,average,regular,rarely,student,74.0,likes_pets,m,no
34,overweight,regular,rarely,graduate,68.0,likes_pets,f,no
29,fit,regular,rarely,other,64.0,unknown,f,no
26,fit,vegetarian,rarely,graduate,75.0,likes_pets,m,no
43,overweight,regular,rarely,graduate,63.0,likes_pets,f,smokes
44,average,regular,rarely,graduate,65.0,likes_pets,f,no
32,fit,regular,often,high_school,72.0,unknown,m,smokes
37,overweight,vegetarian,rarely,other,68.0,likes_pets,f,smokes
30,slim,regular,often,graduate,69.0,has_pets,f,no
26,average,regular,rarely,graduate,73.0,likes_pets,m,no
23,fit,regular,rarely,other,70.0,unknown,m,no
31,fit,regular,rarely,graduate,69.0,has_pets,m,smokes
34,average,regular,rarely,other,73.0,unknown,m,no
48,fit,regular,rarely,graduate,69.0,unknown,m,no
35,slim,regular,rarely,graduate,71.0,likes_pets,m,no
25,,regular,,graduate,73.0,unknown,m,no
27,average,regular,rarely,graduate,63.0,likes_pets,f,no
27,fit,regular,,graduate,67.0,unknown,m,no
22,average,regular,rarely,student,64.0,likes_pets,f,no
35,average,vegan,rarely,graduate,71.0,likes_pets,m,no
26,,regular,,graduate,72.0,unknown,m,no
32,overweight,regular,rarely,other,74.0,unknown,m,smokes
32,average,regular,rarely,graduate,72.0,unknown,m,smokes
23,slim,regular,rarely,other,71.0,likes_pets,m,smokes
40,average,regular,rarely,graduate,64.0,has_pets,f,smokes
47,fit,regular,rarely,graduate,66.0,has_pets,f,no
31,fit,regular,rarely,graduate,74.0,likes_pets,m,no
30,fit,regular,rarely,other,68.0,unknown,m,no
25,fit,regular,rarely,graduate,70.0,unknown,f,no
33,slim,regular,no,other,68.0,has_pets,m,no
54,fit,vegetarian,rarely,other,76.0,likes_pets,m,no
30,fit,regular,rarely,graduate,72.0,likes_pets,m,no
45,fit,regular,rarely,graduate,70.0,unknown,m,no
30,fit,vegetarian,rarely,graduate,67.0,has_pets,m,no
49,fit,regular,rarely,graduate,64.0,has_pets,m,no
32,average,regular,rarely,graduate,68.0,unknown,m,smokes
24,fit,regular,rarely,student,66.0,unknown,f,no
57,fit,vegan,rarely,graduate,69.0,likes_pets,m,no
41,slim,regular,rarely,graduate,72.0,unknown,m,no
37,overweight,regular,often,graduate,61.0,likes_pets,f,no
35,fit,regular,rarely,graduate,74.0,has_pets,m,no
40,fit,regular,rarely,graduate,64.0,likes_pets,f,no
50,fit,regular,rarely,graduate,66.0,has_pets,f,no
40,fit,regular,rarely,graduate,73.0,likes_pets,m,no
37,fit,vegetarian,no,other,76.0,likes_pets,m,no
60,fit,regular,rarely,graduate,71.0,likes_pets,m,no
47,fit,regular,rarely,high_school,69.0,unknown,m,no
29,fit,regular,often,other,71.0,unknown,m,no
29,fit,regular,rarely,graduate,71.0,likes_pets,m,smokes
22,fit,regular,often,graduate,91.0,likes_pets,f,no
44,,regular,rarely,graduate,74.0,likes_pets,m,no
57,average,vegetarian,rarely,graduate,62.0,likes_pets,f,no
43,overweight,regular,rarely,graduate,67.0,has_pets,f,no
20,average,regular,rarely,student,62.0,likes_pets,f,no
29,slim,vegetarian,rarely,graduate,71.0,unknown,m,no
30,,regular,often,student,70.0,unknown,m,no
25,fit,regular,rarely,graduate,72.0,likes_pets,m,no
39,fit,regular,rarely,graduate,72.0,likes_pets,m,no
41,slim,regular,rarely,graduate,64.0,likes_pets,f,no
30,fit,regular,rarely,other,72.0,likes_pets,m,no
23,fit,regular,rarely,graduate,68.0,unknown,m,no
49,overweight,regular,rarely,graduate,68.0,likes_pets,f,no
59,average,regular,rarely,graduate,71.0,likes_pets,m,no
39,fit,regular,rarely,high_school,66.0,unknown,m,no
38,fit,regular,rarely,graduate,67.0,likes_pets,m,no
59,fit,regular,rarely,other,68.0,likes_pets,f,no
26,,kosher,rarely,graduate,61.0,likes_pets,f,no
33,overweight,regular,often,graduate,73.0,likes_pets,f,no
46,,regular,rarely,graduate,71.0,likes_pets,m,no
36,average,regular,rarely,graduate,71.0,likes_pets,m,no
40,overweight,regular,rarely,graduate,64.0,likes_pets,f,smokes
29,slim,regular,rarely,graduate,72.0,unknown,m,no
30,slim,vegetarian,rarely,graduate,67.0,has_pets,f,no
30,,regular,rarely,graduate,65.0,unknown,f,no
33,overweight,regular,rarely,graduate,74.0,unknown,m,no
29,fit,regular,rarely,graduate,68.0,unknown,m,no
23,slim,regular,rarely,student,61.0,unknown,f,no
33,fit,regular,often,other,71.0,likes_pets,m,no
28,fit,regular,rarely,graduate,67.0,likes_pets,m,no
31,overweight,regular,often,other,65.0,likes_pets,m,no
29,overweight,vegetarian,rarely,graduate,79.0,unknown,m,no
44,overweight,regular,rarely,graduate,61.0,unknown,f,no
28,average,regular,rarely,student,66.0,likes_pets,f,no
47,fit,regular,rarely,high_school,76.0,likes_pets,m,no
24,fit,regular,rarely,graduate,69.0,likes_pets,m,no
28,fit,regular,rarely,student,70.0,likes_pets,m,no
40,average,regular,rarely,graduate,65.0,has_pets,f,no
24,fit,regular,rarely,student,72.0,unknown,m,smokes
20,,regular,,other,71.0,unknown,m,no
39,average,regular,no,graduate,71.0,likes_pets,m,smokes
52,fit,regular,rarely,graduate,62.0,likes_pets,f,no
39,slim,regular,rarely,graduate,70.0,unknown,m,no
33,slim,regular,,other,72.0,likes_pets,m,no
26,average,regular,rarely,graduate,70.0,unknown,f,no
31,,regular,,graduate,69.0,likes_pets,m,no
27,fit,regular,rarely,other,71.0,likes_pets,m,smokes
60,fit,regular,no,graduate,70.0,likes_pets,m,no
52,slim,regular,often,graduate,65.0,likes_pets,f,no
42,overweight,regular,rarely,graduate,64.0,unknown,f,smokes
31,overweight,regular,rarely,graduate,68.0,has_pets,f,no
38,fit,vegetarian,rarely,other,68.0,unknown,m,no
26,fit,regular,rarely,graduate,67.0,likes_pets,m,no
32,fit,regular,rarely,graduate,64.0,unknown,f,no
40,fit,regular,,other,72.0,unknown,m,no
32,fit,regular,rarely,graduate,61.0,unknown,f,no
31,fit,vegan,rarely,student,64.0,likes_pets,f,no
32,fit,regular,rarely,graduate,72.0,likes_pets,m,no
22,average,regular,rarely,student,64.0,likes_pets,f,no
37,fit,regular,rarely,graduate,70.0,likes_pets,m,no
33,fit,regular,rarely,graduate,63.0,unknown,f,no
44,average,regular,rarely,graduate,72.0,likes_pets,m,smokes
18,fit,regular,,other,66.0,has_pets,m,no
38,average,regular,rarely,other,65.0,unknown,m,smokes
23,average,regular,rarely,student,64.0,likes_pets,f,no
33,average,regular,rarely,graduate,65.0,likes_pets,f,no
24,fit,regular,rarely,graduate,64.0,likes_pets,f,no
32,average,regular,rarely,graduate,64.0,likes_pets,f,no
27,slim,regular,rarely,other,63.0,unknown,f,no
39,fit,vegan,no,graduate,63.0,likes_pets,f,no
47,fit,vegetarian,rarely,graduate,66.0,likes_pets,f,no
33,fit,regular,rarely,graduate,70.0,likes_pets,m,smokes
38,fit,regular,no,other,70.0,likes_pets,m,no
42,fit,regular,rarely,graduate,67.0,likes_pets,f,no
42,fit,regular,rarely,graduate,70.0,likes_pets,m,no
21,fit,regular,rarely,other,68.0,unknown,f,smokes
35,fit,regular,often,graduate,73.0,likes_pets,m,no
38,fit,vegetarian,rarely,graduate,64.0,unknown,f,no
34,slim,regular,rarely,other,64.0,likes_pets,f,no
27,fit,regular,,graduate,71.0,unknown,m,no
29,slim,regular,rarely,other,71.0,unknown,m,no
27,overweight,regular,rarely,graduate,62.0,likes_pets,f,no
23,fit,regular,,graduate,67.0,likes_pets,m,no
33,overweight,regular,rarely,other,67.0,has_pets,m,smokes
25,average,regular,rarely,graduate,70.0,unknown,m,no
31,,regular,rarely,graduate,66.0,likes_pets,f,no
24,average,regular,rarely,graduate,72.0,likes_pets,f,no
