Score,Text
0.267,"""I can never find the exact #emoji that I'm after at the exact moment that I need it #panic"""
0.845,"""Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now."""
0.300,"""..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!"""
0.419,"""Praying for the #Lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness"""
0.403,"""Never let me see you frown"""
0.156,"""your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy"""
0.483,"""more of a hearty Italian man myself"""
0.458,"""Not a word about terrorism."""
0.462,"""We've had no foreign policy but have had goofy Secretary of State John Kerry with his devil may care pose and jaunty blue scarf."""
0.581,"""Very long day. Thank goodness for Bake Off to brighten up a weary Wednesday ☺ #GBBO"""
0.871,"""When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious"""
0.417,"""Hope was an instinct only the reasoning human mind could kill. An animal never knew despair."""
0.207,"""Don King is an insult to the intelligence of the Black Community. What are these people thinking?"""
0.793,"""My first time watching your vids and i died of laughter. Keep this up dude"""
0.518,"""Its okay to be trans just rejoice with the trans in the trans way. By the way it's not your business, so why care?"""
0.312,"""Omg I actually thought she was going to jump. #SouthPark20 #southpark"""
0.903,"""Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty"""
0.379,"""This whole #VanRE + extradition might turn into a Pandora's box. JT has no idea about that murky corrupt guanxi in China; Toad vs Dada ;-)"""
0.156,"""Body is sleepy but the mind is active. So sad... Have to get ready for work in 30 minutes. Damn! #restless"""
0.650,"""The LORD your God is in your midst—a warrior bringing victory. He will create calm with his love; he will rejoice over you with singing."""
0.855,"""#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment …"""
0.607,"""Nice Idea collect all relevant socialmedia in one-But dont be automatic pls #worldsapp ⬅️ #chirp #appsworld #socialmedia merci🎈"""
0.375,"""I can never find the exact #emoji that I'm after at the exact moment that I need it #nuclear #missiles.\n\n#IndianArmy"""
0.304,"""Brendan Rodgers looks fuming 😭"""
0.323,"""CN seems like you only appreciate good reviews. No apologies to my concern years ago."""
0.871,"""My friend just messaged me 'ugh I'm so hungry I can't wait for breakfast' #socialmedia #WineWednesday #hilarious #funny #laughing #happy"""
0.724,"""I am always ready to #smile."""
0.371,"""any time a man who got paid to throw temper tantrums speaks up, you gotta listen."""
0.200,"""it's the irritation of not having found the corpse"""
0.750,"""Like I said ➡ there's plenty of cheddar in the cheese to go around! For everyone. ☺ #smile"""
0.278,"""I'm #mad that my brother is #sad ! Feel better bub!"""
0.310,"""It's so sad! There's always such optimism with a new year. This is...not good."""
0.871,"""one thing I can say is that you kept me smiling"""
0.533,"""It's meant to be!!"""
0.645,"""Your lion's heart\nWill protect you under stormy skies\nAnd I will always be listening for your laughter and your tears"""
0.583,"""Lets get this Astros/A's game going already! We're going to need all 5 of you in attendance to cheer the A's to victory!"""
0.717,"""Well that was exhilarating. I didn't know you could have goosebumps for 2 hrs 5m straight."""
0.603,"""Bet pawpaw is having a good time rejoicing up in heaven for his first birthday there!"""
0.700,"""Vincent looking super lively boy... Hattrick perhaps lol"""
0.364,"""in health we did a think about depression and now i feel like i have it"""
0.422,"""what happened to the suicide tweet it was a joke obviously how could that offend anyone?🤔"""
0.179,"""I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming"""
0.373,"""I am working on a feature right now about the preponderance of awful owners who are at war with fans. So many to choose from."""
0.516,"""It take so little to make a child's life joyful, why do we work so hard to make their lives hell? Peace"""
0.583,"""Omg I'm outside making beats with garageband and some little birds decided to chirp along （≧∇≦）"""
0.234,"""sadly his best days are behind him"""
0.317,"""only offering 6 moth warranty #ps4pro #shocking #truth #ripoff"""
0.538,"""Ok, it seems there is still hope in BSNL 🙂\nNow, BB speed is ok 🙂\nBut I won't thank and elate much lest it be gone again like before 😐🙂"""
0.638,"""chirp chirp! what a beautiful white and red bird! 🐦"""
0.448,"""thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking"""
0.111,"""It's been 5 weeks and I still go through depression smh"""
0.100,"""huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. #outrage"""
0.589,"""I wish, I really, truly wish, that I had just a modicum of your banter."""
0.850,"""Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife #smile #love #hardworkpaysoff #fun"""
0.478,"""One point: DSP claims YTers lost half their viewership in 2012 if they weren't using direct capture. That's when the search changes happened"""
0.333,""".Obama describes his temperament as 'steady &amp; on the buoyant side.'"""
0.574,"""- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batman’s -"""
0.800,"""The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman"""
0.641,"""Come to the FUNdraiser this Fri. at 8pm . Because #pie + #face = !"""
0.581,"""That is Noah Ark, it's a terrific design."""
0.677,"""I'm a cheery ghost."""
0.567,"""did you know that the sparkling letters in Super Mario Galaxy spell out U R MR GAY"""
0.500,"""Red heads are more fiery."""
0.733,"""Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !"""
0.531,"""Relive Vegas' heyday with Rat Pack tribute"""
0.452,"""It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp"""
0.569,"""Job interview in the afternoon #ek"""
0.467,"""Today I answered a call from a college rep who didn't realize I did, and I got to hear part of his lively debate about if evolution is real."""
0.672,"""I've got some new pens to break in. Name an animated series and I'll draw you in that style 🖍"""
0.267,"""If I spend more than £10 in shimmy on £1 drinks I'll be raging, but we all know it's gonna happen"""
0.823,"""#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter! #cleverpeople"""
0.411,"""Just now we were rejoicing that we finally won a match the draw just revealed that we are facing city next. This life sef"""
0.617,"""I thought I got mad for anything but my bf gets mad over any little thing lmfao shit be hilarious"""
0.387,"""I seriously hope these chances Celtic are missing are going to come back to haunt them with an Alloa sucker punch"""
0.117,"""i cant live anymore my roblox got termianted :(((((((((((((((((((((((( #sad #killme #lol #robloxgamer"""
0.550,"""*Connie came back in* Hey you seem a bit more lively"""
0.333,"""in my dream....They were trying to steal my kidney!!! #blackmarket #whydidiwatchthat"""
0.355,"""Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding ."""
0.250,"""Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡"""
0.732,"""Impractical Jokers...practically genius!!! #laughter #good4thesoul #ImpracticalJokers #bingewatching"""
0.732,"""#nana 4 hoco bc my dream since freshman year awe 😙❤❤❤"""
0.569,"""he chirp"""
0.452,"""The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days"""
0.591,"""Just like there is a right way to pray, there is a right way to give - not grudgingly or of necessity, but cheerfully. #woficc"""
0.210,"""Guy across from me in a really ugly suit cannot stop expressing his displeasure"""
0.672,"""f breezy"""
0.484,"""Turns out 'it' wasn't even anything to be concerned about at all. Im happy and a bit frustrated it took so long to get this answer."""
0.214,"""Bojack Horseman: the saddest show ever written?? #depression #season1"""
0.586,"""Dehydrated, exhausted, stressed but still blessed."""
0.435,"""I want my highlight to be so bright that if I ever get lost and someone is looking for me in the dark, they'll find me."""
0.742,"""#Appreciate what you have &amp; enjoy your life. \nUse your #smile 😃 to help others use theirs. ☺️"""
0.629,"""What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg"""
0.893,"""We love you! #hilarious We are looking forward to SO much more! #kudos on the #pilot #speechless"""
0.339,"""A former diplomat is quite gleeful about the situation of Pakistan on \nNot quite stiff upper lip of diplomacy seen normally"""
0.065,"""Sigh. I got a B- .. #depressing"""
0.623,"""Trust me dear, if you want to make anything invisible, hang a wet paint on it, and hilarity will ensue."""
0.607,"""Asked one thing from our guys tonight and got it! #happy #proud #disappointed - THAT IS FOOTBALL #timetoclimbthetable"""
0.726,"""When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou"""
0.610,"""When you're prof suggest and William James may be unlikely dialogue partners and then plays the #happy video #WeAreCST"""
0.500,"""be strong, independant and practical. stop living in your world of fantasy. snap out of it. the faster u get used to the reality, the better"""
0.603,"""Beats is accurately all-powerful with respect to high-quality high-frequency speaker in re the extra desolate relating to fire-ea:…"""
0.581,"""I was pretty sure it was a Golden Ticket. Get a tour. Make a mistake. Something horrific will happen to you. Good day sir."""
0.276,"""Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time."""
0.630,"""Sweet! #optimism"""
0.414,"""Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution."""
0.375,"""So they #threaten to kill #kapernick for KNEELING. I say every athlete just stop playing until social justice and equality comes forth."""
0.519,"""love that Jordy #revenge ⚽️"""
0.583,"""Mind if I tag along?' She asked cheerfully, sweeping a lock of hair behind her ear. 'I want to see if you've really got •"""
0.435,"""everyone hates twice, and i kinda did too but they got bops i'm bumping rn to cheer up"""
0.633,"""Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5"""
0.855,"""I just want to let everyone out there know you are wonderful people! #beyourself #late-night #compliment #behappy"""
0.219,"""bc it's a gloomy day Tony"""
0.638,"""my adorable and cheerful daughter\nAlways pouring positivity green goo on me\ndare hurt her and you'll see hell //growls\n\n#PandaBot"""
0.565,"""you'll be pleased to know my family are blues"""
0.350,"""Are you lost in the fury, fearing that you'll fail?"""
0.135,"""some of the casuals tweets that Vic has faved are making me gag #bitter"""
0.359,"""TONIGHT. Legit can't wait to rage 🤘🏻🤘🏻🤘🏻🤘🏻🤘🏻🔥"""
0.397,"""ya boy gets mad tired of pine trees"""
0.422,"""MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)"""
0.339,"""I can't help but feel melancholic!"""
0.121,"""I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster."""
0.113,"""😩😩😩😩 heads melted, very tired but can't sleep. #nightmare"""
0.607,"""this is why I think his pre prepped debate answers have the potential for hilarity"""
0.350,"""Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps"""
0.449,"""Women don't like girls because we resent them for looking so great/we wish we still looked like that #washed"""
0.274,"""the outrage has passed and has been replaced by a mute, fatalistic acceptance of the current situation. #fatalism"""
0.565,"""#Sports Top seed Johnson chases double delight at Tour Championship"""
0.950,"""Happy birthday sweety .. sweet 21 hun hope u have a wonderful day and a wondrful joyful year better than the last one, Luv U ♥"""
0.333,"""Covering Milo might make sense—not much, even at that—but celebrating him as puckish is cooperation in something ghastly."""
0.338,"""Aidy: *has a physics question*\nAidy: '... ok, I'm not gonna ask Tristan cause I don't wanna aggravate her'"""
0.694,"""#MeogysDailyVocabEnhancment Elation: quality or state of being elated; feeling or state of great joy or pride"""
0.054,"""I can't pull myself out of depression"""
0.600,"""lol. Love it when you aggravate Juan. Keep up the good work. Lol"""
0.696,"""AWW. I had a Maine Coon when I was little named Ted Eddy the Wonder Cat. They're such good cats! Very playful and sweet"""
0.167,"""please fire don lemon!!Do not let him report on anymore protest. He is #horrible #negative and runs away from the issue at hand!"""
0.683,"""cheering for and"""
0.650,"""afternoon delight"""
0.362,"""NO greater wrath than a woman scorned."""
0.855,"""When my friends send me ballons and fireworks through text... #amazing"""
0.519,"""loved #sing #tiff but 1 q there is 1 japanese line but obviously spoken by non japanese. no way to find japanese for 1 line?"""
0.758,"""I would like to congratulate the people of Saudi Arabia a happy and a joyous national day. May you all have a great time! #اليوم_الوطني"""
0.621,"""You know you're in love when all you can do is smile whenever you talk about how he is to someone."""
0.444,"""Traditionalists say it should be bored by or bored with, but not bored of, a 'rule' cheerfully ignored"""
0.532,"""'drunken patroons' make this whole situation much more jovial though."""
0.143,"""I understand now...if it's not pleasing to the ear...then it ain't what you want! I'm so so tired!!"""
0.700,"""Optimism leads to success. - Bill Kerr #success #optimism #goals"""
0.500,"""Being stuck in the roof of your house provides amazing view but sheer terror of falling down, kinda like life"""
0.613,"""You forever straight so fix that frown u good😇"""
0.467,"""Mon Celtic, give us something to cheer - place is empty, soaked &amp; its my wee nephew's Birthday ffs, started well, now dropped off."""
0.672,"""5 person of renown cheerful expectation solutions-pleasure principle back: HsNHZMJSc"""
0.155,"""oh so that's where Brian was! Where was my invite? #offended"""
0.406,"""Why does having anxiety drain some much of your energy #anxiety #sotired #needtosleepforhours"""
0.260,"""Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted"""
0.742,"""I aspire to have Val's self confidence and optimism tbh 👏💖 #GBBO"""
0.313,"""#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back."""
0.342,"""Circle K is dead to me. I hate your new slushie machine. #livid"""
0.500,"""If I were assured of your eventual destruction I would, in the interests of the public, cheerfully accept my own.' Sherlock Holmes"""
0.484,"""On the bright side with YouTube heroes leafy will finally get banned"""
0.645,"""breezy luvvvv"""
0.611,"""I love looking at my old statuses on Facebook. The one I have from four years ago on this day was about #glee. I had so many opinions..."""
0.387,"""incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays"""
0.833,"""YES! I am rejoicing"""
0.375,"""Any other election, fine vote 3rd party as useless as it is but not this one. I hesitate to say it'd be selfish but..."""
0.719,"""#NHLNYCSWEEPSTAKES having fun watching team North America and cheering team Canada!"""
0.234,"""Hey why can I only see 15 sent emails? Where's the thousands gone?"""
0.411,"""Heard of panic! At the disco? How about Kach-ing! at the ATM"""
0.177,""": I can't find my patronus, the website doesn't work, I can't even see the questions.... #sadness..."""
0.750,"""in geometry today hannah started crying of laughter because ms. canning said 'pp' lol"""
0.259,"""I'd rather dump gasoline all over myself and run into a burning building than use Excel."""
0.328,"""so in your opinion is this the worst delhi govt? #acrid #hypocrisy"""
0.306,"""my heart actually sunk looooool I was so confused"""
0.274,"""tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us."""
0.433,"""I'm 3 days sober don't wanna ruin it"""
0.266,"""A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court."""
0.781,"""Thank you for the #follow. Looking forward to your tweets as they look entertaining! #socialmedia"""
0.267,"""Ppl like that irritate my soul"""
0.656,"""- the Hunter in this way, content and joyous in simple, domestic bliss? I cannot wait for word of who you truly are to -"""
0.466,"""Fam what seems more fun for a photo booth: being able to instantly post to Twitter or having to wait till sober to see the hot mess"""
0.550,"""Sir, my concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.' - Abraham Lincoln"""
0.402,"""Yes Mourinho, you really should stop speaking about refs! And try cheering up a bit."""
0.968,"""#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love #hilarious #TeamMark"""
0.148,"""These people irritate tf out of me I swear 🙄 I'm goin to sleep ✌🏾️"""
0.688,"""💥⚖️Yeah‼️ PAUL‼️⚖️💥 #glorious #BB18"""
0.518,"""#smiling doesnt necessary means your happy.sometimes it just means you're strong!"""
0.650,"""Whatever you decide to do make sure it makes you #happy."""
0.645,"""Some Erykah Badu to sedate me 💕"""
0.203,"""I totally understood his point, but we need a better messenger and the laughter just pissed me off! 😡"""
0.719,"""At the end of the day you gotta be #happy for you."""
0.800,"""Girlfriends cooking me dinner again. spag blow it is, not to sure if she need my help 😂😂 #girlfriends #happy"""
0.323,"""Candice's pout gets more preposterous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO"""
0.259,"""it's 5679787. Cannot DM you as we don't follow each other. Not such a #party #fail #letdown"""
0.783,"""Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up. #laughter #comedy #maybeoneday #hopefullyfunny #LOL"""
0.278,"""Since the 'update' my loses power nearly 40% faster."""
0.207,"""Too many are on their 'yeah, the thing going on with cops shooting innocent people is sad - but just not in my backyard, so..' #blm"""
0.750,"""Gud morning sir,,keep smiling!"""
0.483,"""I respect when someone can give a second chance to a movie they aren't a fan of. Why #horror is diverse."""
0.569,"""haha, horrific is all that needs to be said. Glad I'm away to Spain on Sat so missing game 🍹🍕🍺☉☉"""
0.361,"""The ppl on here defending cops as they continue to kill innocent ppl or ppl who aren't innocent but clearly cooperate irritate tf outta me"""
0.767,"""Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing"""
0.883,"""happy birthday to the most beautiful cheerful sister ever, llnp 💕❣🎉"""
0.581,"""Seriously. Digging those eyebrows."""
0.226,"""Wine drunk is the worst version of myself ffs, don't even remember seeing basshunter"""
0.685,"""*violently screams at the four winds* WE AINT EVER GETTING OLDER *cute jovial rhythm starts* *moves hips along and waves arms in the air*"""
0.730,"""hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man."""
0.414,"""He just has that way of thinking, he wants absolute hope born from absolute despair."""
0.453,"""My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!!"""
0.393,"""your gunna make me cry, I need a glee day"""
0.339,"""Hey why can I only see 15 sent emails? Where's the thousands gone? #panic"""
0.414,"""myself that despite the absolute delight my children and I would feel having a kitten in our home, the misery my husband would feel is more."""
0.344,"""Super shitting it about this tattoo #nervous"""
0.810,"""i love those #memories that randomly pop\ninto my head , have me #smiling like an\n#idiot for ages 󾌴"""
0.500,"""smiling through the stress :) :) :) :) :) :) :( :( :( :( :( :( :("""
0.617,"""My future must be bright af."""
0.274,"""WHY TF DO BROKE BOYS KEEP TRYNA FIND GF's? GET UR FUCKIN $$$ RIGHT B4 I SMACK YO BITCHASS, she deserves 2be happy &amp; u don't deserve that ass"""
0.594,"""Every single problem we ever face can be solved with a nice blend patience and optimism"""
0.522,"""just play rappers delight and have a 15 minute kip"""
0.776,"""looks that way. But let's think about Rohan last week ... #optimism"""
0.630,"""This night is sparkling don't you let it go,\nI'm wonder struck,\nBlushing on the way home.'"""
0.617,"""some say my lover is a pale green light\nhe hovers high where the moon shines bright"""
0.704,"""Got to be up in 4 hours to go back to work #cantsleep #excited"""
0.350,"""but sadly he missed some crucial and important points. Indian terrorism in pk, kal Boshan, etc.. Raw involvement"""
0.500,"""light shining thru a clear sparkling stream of piss ,is a sight women will never know of(also tells tht system ure system is healthy)"""
0.121,"""Don't join they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming"""
0.783,"""Heather that was #hilarious! #AnthonyWeiner #15gets20 #NYC"""
0.532,"""did it not just enliven your soul"""
0.466,"""Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right"""
0.210,"""In my room 101 would go Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood #dire"""
0.774,"""So happy I live in NYC! See you tomorrow"""
0.433,"""awe, miss y'all too!:)"""
0.734,"""Never a dull moment when talking to Nell 😂😂😂😂😋"""
0.503,"""Congress attended by midterm liveliness differently constraints: qmiv"""
0.172,"""impossible to say. We can only hope that I don’t unwittingly trigger her ferocious side again. Hell hath no fury.."""
0.296,"""I really hate Mel and Sue. They think they're hilarious and they're just awful"""
0.548,"""I was just introducing a little levity to the convo. Yep!"""
0.518,"""Gonzaga not listed in the article but at 65/1 they have tremendous value, they are top10 team for sure, got everything you want"""
0.481,"""Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless"""
0.563,"""Tom Phillips being all jovial at the start of this week's show when Joe is strutting out after that video package is quite the juxtaposition"""
0.310,"""Bloods boiling"""
0.615,"""Never make a #decision when you're #angry and never make a #promise when you're #happy. #wisewords"""
0.645,"""Leon's cheerfulness is always a big help."""
0.328,"""Did you even give out any pizzas ? Serious fail #hungry #hangry"""
0.391,"""I would just give her with their naked body."""
0.274,"""Bitches aggravate like what inspires you to be the biggest cunt known to man kind?"""
0.661,"""God hears your voice optimism at the moment that you think that everything has failed you ✨."""
0.297,"""\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --"""
0.610,"""You make the world a more joyful place. #TheNiceBot"""
0.533,"""Sioux Valley wins home competitive #cheer invite with a score of 158. ...Dell Rapids second at 138"""
0.300,"""People who go the speed limit irritate me"""
0.547,"""Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha"""
0.917,"""I #love to #laugh and share #laughter as way to share #joy"""
0.203,"""With a jovial Trump on his ass, Don King just publicly told a crowd that 'We need [him] because you will always be a nigger.' #FuckTrump"""
0.483,"""I'm spry, though"""
0.333,"""huff btw ty😔"""
0.350,"""What day is it #lost"""
0.633,"""I've been loving you too long #OtisRedding #blues"""
0.717,"""try asking for a cheeseburger with only onion &amp; mustard at any #McDonalds #hilarious"""
0.796,"""Something about these cool, breezy fall days.. 😍🍂🌾🍁"""
0.500,"""A not very young man compiled info on a smiling baby then a mattress created new evil."""
0.707,"""Food that gets delivered 😍🙌🏻"""
0.880,"""Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*"""
0.607,"""Final night shift coming up. I won't miss it but I will miss my work pals and the hysterical laughter that gets us through the night"""
0.054,"""Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of #anger?"""
0.400,"""do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #Autumn"""
0.871,"""Okay this is hilarious"""
0.617,"""Another loss to city in the cup next 🙈 😂😂 cmon united!"""
0.355,"""I'm so confused by the new American horror story 😩"""
0.500,"""only time I am ever cheering for you Johnny"""
0.887,"""but it's so aesthetically pleasing omg"""
0.870,"""ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents"""
0.571,"""HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! #BB18 sorry not sorry #bitter #bbmichelle"""
0.776,"""i'm doing laundry and watching that 70's show with a bunch of strangers. #happy #birthday #to #me"""
0.367,"""I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned"""
0.696,"""hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh god knows we need it"""
0.129,"""you charge 150 extra for sending someone out and your cable service still doesn't work. That's robbery. #cable #horrible #service"""
0.679,"""Only Geo is capable of cheering me up❤️❤️❤️"""
0.250,"""Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁"""
0.677,"""Latest on new optimism on keeping #Raiders in #Oakland, live right now on : meets here w/Lott &amp; Schaaf to talk new stadium"""
0.516,"""Harking back to 2012 - DT's challenge to ...I will give...DT a hearty thank you...if he will release his tax returns...."""
