Score,Text
0.188,"""Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #nudes #tits #snapchat"""
0.417,"""the 1975 are playing antichrist why won't play hustle it's an outrage"""
0.417,"""Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'"""
0.521,"""whenever i pout i just want Adrian to appear and tell me to stop pouting or else"""
0.771,"""very little frustrates me as much as misplacing something. Been looking for my keys for 2 hours now #rage"""
0.458,"""It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp"""
0.755,"""Can't believe are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging"""
0.434,"""Some bloke on the train who's obviously trying to provoke West Ham fans by loudly slagging off the stadium to his mate on the phone"""
0.479,"""British humour should offend and challenge mainstream views. Hat off to Clarkeson. The ultra left should go and kneel before Allah!!"""
0.831,"""Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time."""
0.339,"""Since it's a friend of Pereg's I don't want to offend :) #Peace"""
0.583,"""They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like these..."""
0.667,"""they irritate me. Them and their inch thick made up masks"""
0.729,"""I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned"""
0.312,"""Imagine celtic burst the net wae every attempt, but nutt same old dain it hard way usual"""
0.521,"""I asked Jared to marry me and he said no."""
0.764,"""SOMEONE LET SNAKES IN MY HOUSE, I BET IT I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #HuckFP2"""
0.708,"""Y'all bitches be so angry and bitter, that must truly suck lol"""
0.792,"""Bloody parking ticket 😒💸 #fuming"""
0.396,"""Boys Dm me pictures of your cocks! The best one will get uploaded! ☺️💦💦 #Cumtribute #dm #snapchat #snapme #nudes #dickpic #cocktribute"""
0.375,"""happy birthday to my seed‼️‼️‼️ #renewtherivalry #imyourdaddy #cantbeatme #tater"""
0.646,"""Huh! It's always my fault isn't it &gt;:( #sulk"""
0.458,"""so you WOULDNT date me?????"""
0.688,"""This anger inside I turned to fuel, I burned and watched myself spin down, like inferno types,"""
0.562,"""What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront."""
0.750,"""Dear please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming 😡"""
0.771,"""Still can't log into my fucking Snapchat #Snapchat"""
0.521,"""#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown"""
0.667,"""summar one more insult from you and you're gone Idc if you're my dad"""
0.562,"""Looks like a rabid pack of inbreds."""
0.562,"""I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #howmanymoretimes"""
0.571,"""she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby"""
0.688,"""add tracking but resent them"""
0.396,"""People often grudge others what they cannot enjoy themselves."""
0.646,"""What if the supposed animosity is all bullshit to con the Iranians?"""
0.484,"""Cancelling home Fibe, Internet and TV this afternoon - as soon as I can arrange alternate Internet. 2/2 #angry #fedup"""
0.458,"""Well Trump's rabid base needs 2 hear this &amp; U can always find an overseer like King to say"""
0.271,"""my snap is andriaprebles ❤️"""
0.729,"""So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended"""
0.863,"""The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks"""
0.375,"""some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat"""
0.648,"""shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos"""
0.542,"""ESPN just assumed I wanted their free magazines #offended"""
0.271,"""Weak people revenge. Strong people forgive. Intelligent people ignore."""
0.646,"""fuming ain't the word"""
0.458,"""You're not stealing my girl, I've solo'd Crota's End flawlessly. Do not try or face the wrath of the machine 😤"""
0.750,"""People fuckin irritate me"""
0.663,"""I freaking hate working with #word on my phone #rage #write #writing #writerslife #writerproblems #writer"""
0.792,""": Whaaaat?!? Oh hell no. I was jealous because you got paid to fuck, but this is a whole new level. #anger #love #conflicted😬"""
0.625,"""Ever put your fist through your laptops screen? If so its time for a new one lmao #hp"""
0.208,"""Thursdays at 6pm Vespers &amp; Meditation #prayerful #plainsong #multisensory #candles #incense #psalms #music #silence #faithful sing or listen"""
0.396,"""i resent biting my tongue."""
0.479,"""huff i know your pro-hillary and so is CNN and MSNBC, but they made no mention of this, this statement would be gold for em"""
0.500,"""#EpiPen: when public outrage occurs, expand #PAP Patient Assistance Progrm, coupons,rebates .on #Mylan #Epipen"""
0.877,"""They gonna give this KKk police bitch the minimum sentence..just wattch #angry"""
0.271,"""I fell and heard a snap hffffhj"""
0.438,"""😂😂😭😭😭 resentment"""
0.500,"""Oh, good God. Quentin Letts is doing one of his 'comedy' turns. #angry #BBCTW"""
0.396,"""You can't fight the elephants until you have wrestled the pigs. #quoteoftheday"""
0.625,"""Can't believe I've only got 2 days off left 🙄 #backtoreality #raging"""
0.521,"""That AK47 leave your spine with a frown"""
0.771,"""i feel furious"""
0.583,"""I love when people say they aren't racist right before they say some racist shit... Not how that works..."""
0.625,"""I don't know how much more of that bloody pout I can take!!"""
0.417,"""Will I offend you\nif I am truthful but kind\nor will you see why?\n#haikuchallenge"""
0.521,"""come on let's make em hate 😘make em pout they face 👿😩."""
0.833,"""All Brian does is sleep and aggravate me"""
0.292,"""Not by wrath does one kill, but by laughter. Friedrich Nietzsche #friedrichnietzsche"""
0.562,"""luv seeing a man with a scowl on his face walking with a protein shaker clenching his fists. i immediately stop n suck his dick"""
0.333,"""not near my kitchen so unfortunately I cannot do a cooking snap series 🍳"""
0.521,"""You boys dint know the game am I the game... life after death... better chose and know who side you on before my wrath does come upon us😤😤😤"""
0.708,"""I'm not use to getting up early asf this shit goin irritate me."""
0.250,"""testing"""
0.312,"""Bon on allume madden"""
0.708,"""I'm furious 😩😩😩"""
0.354,"""Asian Tiger #Mosquitoes are so relentless. More aggressive than the kind I dealt w/as a kid."""
0.202,"""Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted."""
0.438,"""The best #revenge is to move on, get over it, and continue to #succeed. Never give someone the #satisfaction of watching you #suffer....!!!"""
0.333,"""A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol"""
0.438,"""That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave."""
0.875,"""My blood is boiling"""
0.396,"""Look at those teef!"""
