Score,Text
0.348,"""Overtime... #TeamNA #WCH2016"""
0.375,"""Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you. #faith #leadership #mindfulness #success"""
0.521,"""dread pitt"""
0.812,"""Bloody hell Pam, calm yourself down. But could have sworn something black &amp; hairy just ran across the carpet, #perilsoflivingalone"""
0.375,"""I am going to make it my life's mission to discourage anyone from using . They will rob you blind"""
0.604,"""We're all in D. T. (Discipleship training or detox) for something. #messy #fearful #cutoff #choosefreedom #CryOut16"""
0.375,"""Hey why can I only see 15 sent emails? Where's the thousands gone?"""
0.458,"""I think you should do. Get the fashion police involved. #shocking"""
0.469,"""Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep"""
0.896,"""Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪"""
0.146,"""wow that sounds terrific"""
0.792,"""Yeah, it was sooo horrific, I needed to sit down"""
0.458,"""Mom you remember when Narley died? You cried like a baby! #bully"""
0.456,"""some weeks there are no problems but this week is unbelievable -- are you guys even running regular 12 buses? #awful #solate"""
0.354,"""The most important characteristic of leadership is the lack of #fear. #activism #equity #revolution"""
0.229,"""I unfollowed without hesitation &lt;3"""
0.250,"""don't be shy their great people👍🏻👍🏻"""
0.688,"""Time for some despair #SDR3 #fuckthisanime"""
0.438,"""#travelfail #virgin #virginaus and #etihad #nightmare ... And now we're also delayed. #obvs 🙄😠"""
0.181,"""shake fries"""
0.375,"""I really hate Mel and Sue. They think they're hilarious and they're just awful"""
0.479,"""haha, horrific is all that needs to be said. Glad I'm away to Spain on Sat so missing game 🍹🍕🍺☉☉"""
0.188,"""Now that's what I call a gameface! #gameface"""
0.208,"""Happy Birthday to my favorite author, #writer #author"""
0.646,"""#course day # potential Leadership #excited #nervous # proud"""
0.458,"""that was shocking!"""
0.312,"""#Trends thread;'P)..it was in my #drafts&amp;now #posted 2 mins after my #birthday..so #close:'O!:''/...but anyway it #really was the #start of"""
0.354,"""all the bully"""
0.500,"""never thought an angry oompa loompa would be my Boggart, but there you have it. #boggart #PresidentTrump"""
0.521,"""terrible"""
0.417,"""$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach #terrible #lgm"""
0.417,"""Don't forget 2 test yr #smoke #alarm, #carbon #monoxide #detector #batteries. It could save your #life. 🐈🐩 #Lovinleeds"""
0.208,"""I've joined holidog, paw shake and tailster and have one regular customer I just love it 🙈🙈haha"""
0.604,"""Americans for HRC! Now maybe, as you see the world getting rid of terror to save their countries you'll get the DEMS out."""
0.271,"""I'm curious to know just how much money the original Air Bud made to justify the continuation of these awful sequels and spinoffs."""
0.438,"""I am in #shock and #awe and the places my #toddler manages to get his dinner."""
0.542,"""i dont understand why u do videos every week spend time with your family instead of working on horror #takeabreak"""
0.620,"""In addition to fiction, wish me luck on my research paper this semester. 15-20 pages, oh boy. #daunting"""
0.479,"""yes!! Once I'm done with people I'm really done.... lying to me is the worse thing someone can do I'm a nightmare 😂"""
0.375,""".Ordered before 10pm last night, paid for next day. Didn't bother to fufill order. Now 14 working days for a refund!"""
0.542,"""Trump says the refugee situation 'is not just about terrorism it's about quality of life.' Take note."""
0.134,"""awe I love you twooo!!! come adventure with me someday!"""
0.521,"""I'm so confused by the new American horror story 😩"""
0.812,"""These interviews scare the crap out of me. I never imagined so many dumb, dumb Americans."""
0.625,"""US you need to band together not apart #nevertrump he promotes hatred and fuels"""
0.229,"""That's what we strive for, Jamie! Please don't hesitate to reach out if you have any questions along the way. 🙂"""
0.460,"""and it's Kelvin Mackenzie tomorrow... #shudder DontBuyTheSun"""
0.271,"""I will watch when it opens in Mexico in a week. Thank you for making it and don't be discouraged."""
0.417,"""courage the cowardly dog is like american horror story for kids"""
0.688,"""Being alone is better than being lonely. Know what is worse than being lonely? Being empty; that's right!\n #Loneliness #aloneinthecity"""
0.354,"""When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so tall?'"""
0.742,"""#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism"""
0.521,"""Collects all the times when Minerva would chew on his cape. Begins to shiver, runs a hand through his hair. \n\n'You can"""
0.271,"""Everything you’ve ever wanted is on the other side of fear. –George Addair #ThursdayThoughts #yourpushfactor #life #quote"""
0.542,"""Ugh I want to punch a wall every time I have to use 10. Literally the worst product ever made #windows10 #awful #killme"""
0.333,"""you charge 150 extra for sending someone out and your cable service still doesn't work. That's robbery. #cable #horrible #service"""
0.396,"""no the flavour of Danish is far better but Danish pastry can be daunting to make!"""
0.657,"""this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #wakeupcall"""
0.771,"""Background. Suffered a bit at times of #stress. Always a bit #shy. About 8 years ago (aged 30) I was made redundant. That's when it started"""
0.417,"""#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress"""
0.842,"""When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing"""
0.400,"""This shit is gonna start a cold war of who can flag who first."""
0.220,"""thanks."""
0.521,"""how would you suggest we profile to stop right wing terror"""
0.458,"""Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding ."""
0.458,"""That'll be gosh darn terrific if they only check the brown people. Shucks, let's make a law to say only brown people."""
0.479,"""don't get me started on town centre. Used to go every week.... not been for 18 months #horrible"""
0.562,"""Haha...sorry about the dreadful puns... I need to get out more....I've been cooped up lately..."""
0.854,"""I'm so nervous 😭"""
0.771,"""My doctor has taken a liking to poking prodding and drawing blood from me post dad. Over concern is nice but dear gawd needles :O"""
0.333,"""I don't know what WiFi/ISP Rivertide Suites in Seaside #Oregon uses. But 53ms ping best I can get and a D/L test won't complete.. #terrible"""
0.396,"""~ Crushes are for kids! Just like trix. \rHow bout some full blown up Love that makes you quiver deep down into your core? Y E S *=*"""
0.556,"""I hate winter, I dread it's arrival."""
0.688,"""Fingers crossed I can finish all my work early enough this Friday in time to catch at LIB 😦 #timetogrind"""
0.544,"""I'm not on about history or other people, I'm on about you. I've bullied no one, I make three posts and you attack"""
0.604,"""Round 2 #panic #pcola"""
0.565,"""we are not concerned about Pakistan's internal affairs. But the terrorism as it's state &amp; economic policy.#terroristnation"""
0.646,"""Rooney ! Oh dear, oh dear ! Fucking dreadful 🙈⚽️⚽️"""
0.167,"""Ready for my sweet princess to arrive. I'll he 37 weeks this Saturday! #excited"""
0.583,"""#tulsa - Police manufacture murder... Wonder why we carry burners...? - MaxLevelz"""
0.271,""".if you don't know what a patronus is, I don't think we should have to tell you"""
0.528,"""Am I the only one with parking sensors who still manages to reverse into things? #nightmare"""
0.375,"""Musicians have a superstitious dread of crossing highway 69, true story"""
0.333,"""I really wanna go to fright fest 😩"""
0.583,"""Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless"""
0.062,"""you look adorable awe"""
0.125,"""It's simple I get after two shots of espresso 'Grande, decaf, 130 degrees soy americano with extra foam' #barista"""
0.479,"""Farting in a hot are car when your windows don't roll down is terrible. #gag #BresAdvice"""
0.625,"""I need to learn to be in one place at one time and try not to worry about everything all at once"""
0.312,"""Trying to book holiday flights on website is becoming a"""
0.702,"""There goes the butterflies in my stomach. #anxietyproblems"""
0.375,"""\n\nStephen King never once spoke out about how the Left crushes #FreeSpeech in publishing world.\n\n #Trump #scifi #ccot #p2"""
0.438,"""a #monster is only a #monster if you view him through"""
0.604,"""On /to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot"""
0.750,"""Whenever you are confronted by a wild animal or hostile individual remember that they can smell #fear or the fact you #poop your pants."""
0.458,"""Machine keeps beeping* \nNurse: Don't worry. You're all good. Vitals are normal for your size. \n*Walks back out* \nMatt: so you're dying....😑😂"""
0.146,"""Greatest sign of trust is me giving you my laptop or phone without hesitation"""
0.469,"""that's what some rioters are doing"""
0.146,"""should I #start posting #photos?"""
0.409,"""The irony in that last is that Republicans - more likely to watch Fox News - distrust the news media more. Yet they can't see Fox's lies!"""
0.438,"""Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful"""
0.500,"""I hate that a black lady is painting herself white on the internet for laughs and likes... #BadForm #DidntLaugh"""
0.312,"""all the best Moto GP is loosing a very talented rider"""
0.458,"""I told her I wasn't fighting her Bc I'm not trashy and she keeps tryna threaten me lmfao"""
0.562,"""UK cops have an issue fearing intervention. Hence situations like Rotherham. So of course it'll be dwarfed by US cops."""
0.480,"""A profoundly disappointing experience. I have 2 pay almost $500 2 remedy a defect n the product sold me #terrible"""
0.167,"""#start ur day wit a smile\n#buviobby"""
0.583,"""penny dreadful just cleaved off a fraction of my heart"""
0.688,"""Someone wake me when make 2016 remix of 'Why'❗️b/w #TerrenceCrutcher #Election2016 #colinkapernick #terrorism #riots this 2much"""
0.312,"""To com sede de milk shake"""
0.667,"""There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡 #awful"""
0.938,"""Been up since 4am. Too scared to go back to sleep #nightmare — feeling scared"""
0.542,"""If I was friends with me I'd hate me SO MUCH with the amount I bully them"""
0.370,"""Fear is best/beast product of God/s. :) #aTheism #theism #biBle #christianity #hell #heaven #purgatory #psychology #jesus"""
0.708,"""Shame on you showing an elephant being hunted and killed,"""
0.917,"""Why does having anxiety drain some much of your energy #anxiety #sotired #needtosleepforhours"""
0.521,"""was right and you two have very similar stances against #radical #islamic #terror. Time to anoint the Orange one"""
0.542,"""Will you #dedicate today to #love or #fear ? It is your #choice in each #moment . - Archangel Michael. #archangel #michael"""
0.535,"""check out the article on on #shocking"""
0.375,"""thank u so much! we just finished another #mindfulness film called #release about #anxiety - plz share!"""
0.750,"""I once hooked them up backward. Not recommended. #smoke #panic"""
0.536,"""yeah, #UK was quite the #bully"""
0.354,"""Now ...what to do for the next hour while waiting for #OurGirl to start ?!"""
0.229,"""Jorge deserves it, honestly. He's weak. #revolting #90dayfiance"""
0.375,"""Why is it when you nap during the day you are so comfortable but sleeping at night you'll never be as comfortable"""
0.521,"""So going to local news immediately after #DesignatedSurvivor turns out to be a smooth transition. 'Chaos! A raging fire!...' #media"""
0.875,"""I was literally shaking getting the EKG done lol 🙄"""
0.375,"""why does the ticket website never work? Trying to buy Palace tickets and it's impossible and says there's an error"""
0.576,"""a vote for #killary is like sticking a knife in a toaster #MakeAmericaGreatAgain"""
0.333,"""Not the best horror ever but I like that the uncertainty"""
0.646,"""#terrorism shouldn't be a way of life in the united etates and wasn't until #islam brought it here! #IslamExposed #islambacon"""
0.479,"""\n&gt; #terrorism coffee addict\n&gt; blocks cats, writers, artists and hedonists"""
0.729,"""If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter"""
0.479,"""Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now."""
0.292,"""having a terrific game and not at all fazed #MCFC"""
0.250,"""If you need any assistance with your concern so it can be resolved, feel free to email us with your info. ^AP"""
0.271,"""McDavid breakaway. Lundqvist with a tremendous save."""
0.646,"""that's me all the time. I carry ginger candy, peppermint oil and sea-bands at all times #anxiety"""
0.396,"""OMG IM CRYING HAHAHAHA ikaw talaga tagagising ko HAHA shet i set my alarm BUT I FORGOT TO TURN IT ON but im awake now so--"""
0.250,"""Don't let worry get you down. Remember that Moses started out as a basket case. #lol \nToday, choose #faith over #Moses"""
0.420,"""For the last 2 years the U.S. has been averaging about 4 terrorist attacks a month. Good debate topic. #Trump #Hillary #terror"""
0.146,"""I can be so shy but once I come out of my shell that's it 😂"""
0.542,"""entire team from coaches on down played and coached scared from jumpstreet."""
0.729,"""Tomorrow is the day I cut and dye my hair! 😳 #nervous #excited"""
0.771,"""First day of fall quarter tomorrow. 😰 #nervous #excited #anxious #blargh"""
0.354,"""Am afraid you're at back of BBC queue, editorially trumped by Ron Davies and bicycle paths"""
0.333,"""He's intimidated by my work ethic I think he knows I want his spot 🤔😉😂😂"""
0.289,"""What is even more shocking is that someone gave him a record deal! lol"""
0.833,"""I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7"""
0.375,"""They wanna bully the Inhuman."""
0.729,"""Pakistan is the biggest victim of terrorism - Nawaz Sharif \nReally? It should have been biggest creator of terrorism. #UNGA"""
0.229,"""Don't be so shy #nl"""
0.458,"""Just Laying Here, Can't Sleep 4 Some Reason #restless"""
0.200,"""False alarm // matoma &amp; Becky hill"""
0.800,"""In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news"""
0.562,"""Next month we'll be running overcoming #lowmood, overcoming #worry and improving #wellbeing courses in #Louth. Self refer on 0303 123 4000"""
0.458,"""on RHOBH, you just do not want to assume an affair while you were married so you criticize !"""
0.558,"""but sadly he missed some crucial and important points. Indian terrorism in pk, kal Boshan, etc.. Raw involvement"""
0.542,"""Forgot to plug the phone in overnight #nightmare"""
0.271,"""My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism"""
0.354,"""You don't know what to expect by Brendon's video lmao LA devotee video got me shook"""
0.438,"""oh don't panic he's gonna be there"""
0.188,"""#horror H3LL I SURE DID!!! LOL\nHappy about this decision. :)"""
0.354,"""What's up Cowboys? #horrible"""
0.583,"""Still waiting to see if my will make an appearance next week - two months today it was ordered #shocking #badservice"""
0.688,"""should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean #bully #stoppickingonwomen"""
0.750,"""Fingers crossed I can finish all my work early enough this Friday in time to catch at LIB 😦 #nervous #timetogrind"""
0.208,"""Happy 69th ! May u keep haunting us for many years. #writing"""
0.479,"""I get discouraged because I try for 5 fucking years a contact with Lady Gaga but are thousands of tweets, how she would see my tweet? :("""
0.708,"""Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare"""
0.417,"""#EFT is the single most effective tool I've learned in 40 years of being a therapist-Dr. Curtis A. Steele (psychiatrist) #stress #anxiety"""
0.604,"""there are magpies gathering around me help I'm going to be swooped !"""
0.491,"""Can you imagine being the person who has to spray tan him? #shudder"""
0.062,"""The Pats are awesome. Belichick is awesome ...they just are. #awestruck"""
0.271,"""BTW, George W Bush left office in ,09. We have had terrific leadership under Barack Obama. Keep America Great."""
0.479,"""forest gate u could see he was a bully cunt big bald cunt his mates looked in shock when I hit him and didn't do shit when he"""
0.771,"""Was actually just watching AHS while half covering my eyes #scared #Roanoke #nightmare #AHSRoanoke"""
0.375,"""It is very specific areas only. I care like 0% about clothes, much to my mother's dismay."""
0.562,"""My study skills are terrible 😒"""
0.900,"""i met with an employment specialist this morning &amp; she basically told me its unlikely i'll get a job because i clearly have too much anxiety"""
0.500,"""#Trump is #afraid of the big, bad #Hillary. #election #PresidentialDebate #PresidentialElection2016 #orangehitler #skip #hide #coward"""
0.322,"""Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch"""
0.729,"""I thought the nausea and headaches had passed but lol I feel awful today"""
0.438,"""That's a terrible thing to accuse Scott Baio of."""
0.521,"""Multitasking .... I may have to induce these seeds of mine to sleep. #restless"""
0.708,"""If you think reason will prevail in this election remember that Hitler was elected by what was then a wholly 'reasonable' society."""
0.375,"""There's always that one song which makes you turn of the radio, as you'd rather sit in silence 😡"""
0.188,"""😂 - youre one of those whod bully me omg but it was all banter and we could laugh at it later haha. Youre a nice guy x"""
0.875,"""I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me #frightened"""
0.917,"""❤︎I... I can't! I'm scared! Bees terrify me."""
0.458,"""— make him feel vigorous. 'Fine. You can kill me now.' Said Hestia with a display of only despair rather than her joyful —"""
0.500,"""Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity."""
0.229,"""Which #JohnCarpenter #horror #action #flick is your favorite ??"""
0.875,"""'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited"""
0.333,"""I'd rather see KYLE from bbcan play again and THAT is saying something"""
0.500,"""a #monster is only a #monster if you view him through #fear"""
0.479,"""local solutions fine but not 864 providers negotiating with 32 LA's/IJB 's #scare resources"""
0.229,"""Action is the foundational key to all success ~Pablo Picasso #inspiring #quote #action #hustle #dosomething #success"""
0.562,"""term 5 security queues at arrivals #shocking"""
0.372,"""Will do fine on the mat tonight with or without sleep. theres no worry for that on this side of the water"""
0.288,"""I delete numbers so quick with no hesitation"""
0.417,"""don't worry me and my mans gave him a piece of our mind"""
0.396,"""#ArchangelSummit Anyone can be brave but you just have to last 5 mins longer than everyone else. #leadership"""
0.562,"""\nSo when exactly did you lose your mind, pal? \n#Trump #fraud #misogynist #liar #psychopath #narcissist #revolting #conartist"""
0.593,"""Bilal Abood, #Iraq #immigrant who lives in Mesquite, Texas, was sentenced to 48 months in prison for lying to the Feds about #terrorism."""
0.438,"""Remember the #twinkie #scare ???? #tbt"""
0.333,"""be nice if the Texans could hold onto the ball to give fuller and Hopkins a chance!!! #awful #TNF"""
0.208,"""ok, ok.. I know.. my last tweet was"""
0.688,"""I had really strange and awful dreams last night. I'd didn't even eat cheese before bed #nightmare #lovemysleep"""
0.771,"""How do you ever stop being #afraid of someone that you live with"""
0.562,"""Everyday gay panic is STUNNING: I drew 1 guy's att'n to it when he blocked up a toilet stall's cracks w/paper towels. TOTAL INCOMPREHENSION."""
0.333,"""As much as I want a normal little life.. It wouldn't suit me, I'd get restless, I need to just do what I want at all times to be happy 😊"""
0.646,"""do you actually heely on campus bc this should scare you"""
0.917,"""So I've decided to go talk to Mr. Smithrud about that creepy fucking guy since he gave me a fucking anxiety attack this morning"""
0.312,"""awe yay wish i could rt /:"""
0.333,"""The #Texans should never play a prime time game again...this is #awful #TNF"""
0.375,"""This maybe a new start but it will always be align with the end. #forward"""
0.542,"""When you realize there is #NoHopeForHumanity so you just #start focusing on what's #best for you."""
0.833,"""#heavyheart these last couple of days, who are the cause of this #fear of losing someone close ? #amerikkka #kkkops #TerenceCrutcher"""
0.125,"""Realized I intimidate people with low Self Esteem a long time ago. I only surround myself with Winners and people who know how to get money"""
0.420,"""“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears"""
0.229,"""Patriot rookie QB Jacoby Brissett to start vs Houston tomorrow nite.\n\n'Been a learning process since I got here.Gotta be ready to go.'"""
0.979,"""like srsly somebody help me deal with this social anxiety"""
0.833,"""With only 7 months left until I possess my undergraduate degree, I feel like I can't handle adulthood anymore #anxiety #nojobsinbiology"""
0.396,"""Big up , did I miss phantom dread syndrome by ? dudes sick."""
0.417,"""Fear is best/beast product of God/s. :) #aTheism #theism #biBle #afraid #christianity #hell #heaven #purgatory #psychology #jesus"""
0.521,"""all the best Moto GP is loosing a very talented rider #shocking"""
0.479,"""Anytime gets near a mic, someone needs to smack him w a bat. #awful #marblesinmouth"""
1.000,"""Just had my interview for the medical internship and I am beyond nervous😩 I was shaking so bad it was unreal😳"""
0.540,"""You don't know what to expect by Brendon's video lmao LA devotee video got me shook #panic"""
0.300,"""oh yay old scientist builds himself a robot assistant and makes it look like a hot naked woman nothing alarming here"""
0.833,"""Yeah we're also experiencing terrorist attacks by Islam and #BlackLivesMatter at an alarming rate."""
0.600,"""Texans are scared of this bunch!"""
0.604,"""And im not even going to get into how its discriminatory to several religions which mandate its followers to let their hair dread."""
0.583,"""i got that but you were alarming"""
0.417,"""Mary astounded there at the concept of having leftover milk at the end of your cereal #GBBO"""
0.833,"""Hey why can I only see 15 sent emails? Where's the thousands gone? #panic"""
0.458,"""&amp; I'll actually shoot somebody if I have to not just draw down or expose it to somebody to scare them 😮#Charles"""
0.333,"""term 5 security queues at arrivals"""
0.125,"""When you make a great tasting shake and no words can describe it!😃👌🏻 #shake #herbalifenutrition #tastesogood #nowords"""
0.667,"""The Zika #Hoax Files: DEET is part of a binary chemical weapon targeting your brain: #Toxin #fear #neurological #USCitizens #Insect #mammal"""
0.409,"""When says she's releasing more #IdinaParty tickets and you set an alarm to not miss it... #fingerscrossed #Idina."""
0.292,"""True Indeed! Next time if these midnight hunger pangs worry you,then you can order delicious rolls from #TRC via"""
0.521,"""just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything"""
0.208,"""hahahaa you know coy!"""
0.604,"""Fosu Mensah is having a complete nightmare! It's the reason all Northamptons attacks come from the left."""
0.396,"""It's not a panic situation let's be honest. How shit are they. We just have Rooney up front 😂😂😂😂"""
0.214,"""Multitasking .... I may have to induce these seeds of mine to sleep."""
0.604,"""#Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind."""
0.500,"""Who's afraid of the clowns???\ncomment down there...."""
0.708,"""Texans are scared of this bunch! #intimidated"""
0.688,"""Val having a nervous breakdown #floss #GBBO"""
0.333,"""Drop every fear..."""
0.271,"""Hopefully I'll get this Best Buy job, and officaly #start my #streaming #career , working towards doing something I love #1DayAtaTime"""
0.500,"""whats with these boxes when i search google on chrome #horrible #distracting"""
0.438,"""Which really sucks because typing on a mobile device is always horrible and I hate it."""
0.458,"""Now that's what I call a gameface! #gameface #intimidate"""
0.333,"""Insomniacs can't get sleep cuz they are too guilty about all the horrible shit they do. I'm a complete sociopath n sleep like a baby."""
0.083,"""awe ain't he a sweetheart? He's adorable! 😊😍❤️"""
0.396,"""thanks for getting back to me, exemplary customer service for a loyal customer #jk #awful #residentadvisor #poorservice"""
0.812,"""Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel"""
0.312,"""wait, you mean he wasn't armed with a book?"""
0.792,"""Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous"""
0.500,"""how about saying something like 'if you're concerned about privacy use it only in incognito mode'. #alarmist"""
